votes_1994,turnout_1994,turnout_2000,pri_1994_votes,pri_2000_share,pan_1994_votes,pan_2000_share,prd_1994_votes,prd_2000_share,intent_to_treat,early_progresa,poverty,population,share_eligible,num_villages
711,0.7798169255256653,0.7146145105361938,480,0.3337169289588928,90,0.23935557901859283,78,0.10241656750440598,1,1,4,1637,0.27061697840690613,6
204,0.4516713619232178,0.419222891330719,162,0.2781186103820801,18,0.0920245423913002,13,0.03885480388998985,0,0.8333333134651184,4.333333492279053,766,0.729764997959137,11
212,0.8798007369041443,0.9949748516082764,143,0.5226130485534668,8,0.25628140568733215,47,0.19597989320755005,1,0.7777777910232544,4,386,0.4663212299346924,9
395,0.6838639974594116,0.6410256624221802,285,0.3424908518791199,26,0.13553114235401154,22,0.11538461595773697,0,0.8118811845779419,4.5,1029,1,4
181,0.5662909746170044,0.5517241358757019,36,0.17931035161018372,0,0.01034482754766941,139,0.35862070322036743,1,1,4,615,1,1
281,0.1971205174922943,0.174027681350708,183,0.08174027502536774,45,0.030323006212711334,20,0.04680290073156357,1,0.6086956262588501,4,2491,0.8342031240463257,5
675,0.9204357266426086,0.7705521583557129,475,0.3656441569328308,107,0.1852760761976242,56,0.16809816658496857,1,0.8985507488250732,3.6666667461395264,1325,0.47396227717399597,5
92,0.46569710969924927,0.46721312403678894,76,0.3196721374988556,5,0.07786884903907776,4,0.032786883413791656,1,1,4,319,1,2
159,0.7765002250671387,0.7210526466369629,145,0.6157894730567932,2,0.02631578966975212,4,0.03684210404753685,1,1,4.333333492279053,336,1,3
217,0.5034521222114563,0.5935960412025452,135,0.34729063510894775,9,0.041871920228004456,33,0.17241379618644714,1,0.9750000238418579,4.5,743,1,4
396,0.8336514830589294,0.9501779079437256,377,0.19750890135765076,2,0.0017793594161048532,0,0.304270476102829,1,0.9788359999656677,5,1044,1,5
421,0.4466657340526581,0.4440993666648865,361,0.36438924074172974,8,0.042443063110113144,0,0.013457557186484337,1,0.8983050584793091,5,1843,1,6
199,0.4499841034412384,0.6900269389152527,181,0.4150943458080292,9,0.21563342213630676,6,0.021563341841101646,0,0,5,796,1,6
234,0.5699625611305237,0.5390244126319885,215,0.46097561717033386,7,0.03658536449074745,12,0.014634146355092525,1,1,5,826,1,6
164,0.282671183347702,0.5384615659713745,139,0.3542039394378662,6,0.057245079427957535,9,0.026833631098270416,1,1,5,1178,1,2
117,0.48559197783470154,0.5810810923576355,105,0.45495495200157166,2,0.036036036908626556,1,0.04954954981803894,0,0.46000000834465027,5,498,1,4
58,0.486415296792984,0.5094339847564697,57,0.49056604504585266,0,0.009433962404727936,0,0.009433962404727936,1,1,5,268,1,3
1134,0.02146916277706623,0.0259135402739048,722,0.010785635560750961,217,0.012081312946975231,66,0.0021536252461373806,1,0.626086950302124,3,88205,0.005929369013756514,7
354,0.43058955669403076,0.4941301941871643,198,0.17289221286773682,1,0.17289221286773682,125,0.12379936128854752,0,0.8873239159584045,5,1717,1,7
201,0.27797412872314453,0.6698240637779236,68,0.4451962113380432,0,0.009472260251641273,113,0.17185385525226593,1,1,5,1495,1,3
88,0.6466606259346008,0.7760000228881836,77,0.42399999499320984,4,0.24799999594688416,2,0.03200000151991844,1,1,4,221,1,1
264,0.6132227182388306,0.6639785170555115,217,0.4838709533214569,15,0.08602150529623032,11,0.04301075264811516,0,0.19685038924217224,4.333333492279053,625,1,3
117,0.6250102519989014,0.6568047404289246,87,0.44378697872161865,7,0.047337278723716736,17,0.15976330637931824,1,1,4,332,1,2
137,0.6482700705528259,0.7354497313499451,105,0.5873016119003296,3,0.05820105969905853,19,0.07407407462596893,1,1,4.333333492279053,376,1,3
95,0.7018526196479797,0.6666666865348816,78,0.6078431606292725,2,0,10,0.05882352963089943,1,1,4,307,1,2
156,0.7403321862220764,0.6406926512718201,141,0.5584415793418884,2,0.051948051899671555,4,0.025974025949835777,1,1,4.199999809265137,425,1,5
98,0.9082583785057068,1,63,0.704081654548645,0,0.09183673560619354,33,0.19387754797935486,1,1,4.5,174,1,2
134,0.7096774578094482,0.6497696042060852,83,0.3317972421646118,11,0.08294931054115295,33,0.20276497304439545,0,0,4,335,1,1
168,0.7845226526260376,0.8810811042785645,150,0.7135134935379028,2,0.037837836891412735,7,0.07567567378282547,1,1,4.333333492279053,363,1,3
477,0.6742987036705017,0.6352624297142029,176,0.24495288729667664,14,0.052489906549453735,251,0.3001345992088318,1,0.6710526347160339,4.777777671813965,1540,1,13
135,0.5973101854324341,0.67136150598526,48,0.26760563254356384,7,0.13145539164543152,64,0.24413146078586578,1,1,4.333333492279053,460,1,7
378,0.5572212338447571,0.5867347121238708,243,0.3027210831642151,17,0.09013605117797852,90,0.18197278678417206,0,0.8392857313156128,4.25,1270,1,13
517,0.6824585795402527,0.7119113802909851,233,0.3088642656803131,29,0.07340720295906067,217,0.29501384496688843,0,0.471615731716156,4,1426,0.6444600224494934,5
177,0.5500460267066956,0.577049195766449,74,0.43278688192367554,2,0.03934426233172417,89,0.08524589985609055,1,1,5,748,1,8
856,0.7685069441795349,0.6792452931404114,254,0.11156685650348663,99,0.09844134747982025,417,0.44134536385536194,1,1,4,1957,0.2473173290491104,6
600,0.8987710475921631,0.7943548560142517,349,0.3561827838420868,94,0.26075267791748047,113,0.16263440251350403,1,0.5882353186607361,3,1212,0.2887788712978363,4
628,1,1,270,0.5752426981925964,35,0.2063106745481491,272,0.6237863898277283,1,0.7707509994506836,3.75,1148,0.907665491104126,7
262,0.8460739850997925,0.7678018808364868,147,0.28173375129699707,36,0.22910216450691223,66,0.2476780116558075,1,0.38461539149284363,3,599,0.3322203755378723,2
522,0.6774782538414001,0.7913165092468262,278,0.3949579894542694,3,0.03501400724053383,226,0.3263305425643921,0,0.7760416865348816,4.5714287757873535,1671,1,8
405,0.6906061768531799,0.6880415678024292,269,0.4384748637676239,6,0.020797226577997208,117,0.2010398656129837,1,0.6594203114509583,4,1148,0.7778745889663696,5
370,0.8977609872817993,0.7837209105491638,151,0.3279069662094116,2,0.01860465109348297,191,0.42093023657798767,0,0.6608695387840271,4.454545497894287,866,0.957274854183197,14
351,0.52703857421875,0.4178885519504547,227,0.23900292813777924,1,0.013196481391787529,98,0.16275659203529358,1,0.78125,4.9375,1396,1,14
209,0.75895756483078,0.8007380366325378,145,0.4428044259548187,0,0.06642066687345505,61,0.27306273579597473,1,0.9833333492279053,4,559,1,2
261,0.9256322979927063,0.898692786693573,89,0.33986929059028625,0,0.003267973894253373,172,0.5522875785827637,1,0.4921875,4.25,565,1,4
146,0.7593940496444702,0.7623762488365173,59,0.3465346395969391,0,0.019801979884505272,82,0.3762376308441162,1,0.5918367505073547,4.714285850524902,419,1,8
297,0.9531407356262207,0.8990825414657593,153,0.46177369356155396,1,0,140,0.43119266629219055,1,0.967391312122345,5,645,1,7
468,0.033774178475141525,0.03812277317047119,221,0.01048880536109209,78,0.013514421880245209,132,0.01277482695877552,1,0.5833333134651184,4,26526,0.009575510397553444,7
998,0.7557014226913452,0.7199715971946716,288,0.11442785710096359,63,0.10092394798994064,528,0.47690120339393616,1,0.6987951993942261,3.5,2940,0.2479591816663742,6
448,0.3844519555568695,0.3419833183288574,172,0.10287302732467651,15,0.05468025803565979,214,0.17238183319568634,0,0.835106372833252,4,2301,0.28900477290153503,6
537,0.24012333154678345,0.23996470868587494,207,0.0855756476521492,15,0.030877811834216118,303,0.11865901947021484,1,1,4,4399,0.07933621108531952,6
431,0.8300936222076416,0.570270299911499,180,0.18783783912658691,24,0.06621621549129486,187,0.2986486554145813,1,0.9909909963607788,4.400000095367432,1078,1,5
329,0.5950031280517578,0.5087719559669495,88,0.07814992219209671,7,0.020733652636408806,208,0.39234450459480286,0,0.6185566782951355,4.5,1066,1,4
284,0.6874793767929077,0.640586793422699,164,0.32518336176872253,23,0.1393643021583557,87,0.15647922456264496,1,0.5894736647605896,4.25,725,0.6386206746101379,5
383,0.5222893357276917,0.5734265446662903,264,0.4097902178764343,16,0.0419580414891243,87,0.0923076942563057,0,0.6547619104385376,5,1422,1,5
236,0.3426400125026703,0.7288401126861572,74,0.2664576768875122,33,0.16927899420261383,121,0.2523511052131653,0,0.3799999952316284,3.799999952316284,1248,0.4455128312110901,5
250,0.5634812116622925,0.6082724928855896,82,0.2457420974969864,11,0.05596106871962547,133,0.2846715450286865,1,0.5288461446762085,4.666666507720947,926,1,3
802,0.6390983462333679,0.47734734416007996,432,0.17071568965911865,89,0.09914641827344894,199,0.17334209382534027,1,0.9714285731315613,3.8888888359069824,2356,0.2716468572616577,10
418,0.7389061450958252,0.6003372669219971,115,0.13827992975711823,23,0.10792580246925354,239,0.3086003363132477,1,1,4.888888835906982,1139,1,11
656,0.9045382738113403,0.7286036014556885,203,0.17680180072784424,28,0.08896396309137344,342,0.42004504799842834,1,0.9904305934906006,4.785714149475098,1408,1,14
763,1,0.8518072366714478,242,0.3108433783054352,2,0.01807228848338127,475,0.48433735966682434,0,0.1986531913280487,3.5,1745,0.3031518757343292,4
273,0.5747592449188232,0.4377289414405823,75,0.1538461595773697,1,0.012820512987673283,176,0.2490842491388321,0,0.6666666865348816,4.857142925262451,949,1,14
355,0.5830469727516174,0.6229507923126221,231,0.3715847134590149,0,0.009107467718422413,123,0.23497267067432404,1,0.8046875,4.5,1112,1,11
191,0.6569553017616272,0.5849802494049072,94,0.3596837818622589,0,0,86,0.22134387493133545,1,0.8970588445663452,4.333333492279053,494,1,4
256,1,0.8629032373428345,130,0.39919355511665344,0,0.02822580561041832,109,0.4193548262119293,1,1,4.666666507720947,467,1,4
288,0.7316259145736694,0.7973684072494507,136,0.2210526317358017,18,0.07894736528396606,100,0.4368421137332916,0,0.13592232763767242,4,747,0.5823293328285217,4
235,0.6130043268203735,0.6100795865058899,122,0.25464192032814026,6,0.06366048008203506,99,0.2811671197414398,0,0.6634615659713745,4.5,724,1,4
284,0.7078531980514526,0.6304348111152649,163,0.21195651590824127,20,0.0625,80,0.301630437374115,1,0.8918918967247009,4.5,835,1,6
