"","name","ICPSR2","presidentialvoteshare.1986","presidentialvoteshare.1990","presidentialvoteshare.1992","presidentialvoteshare.1994","presidentialvoteshare.1996","presidentialvoteshare.1998","presidentialvoteshare.2000","presidentialvoteshare.2002","presidentialvoteshare.2004","presidentialvoteshare.2006","presidentialvoteshare.2008","presidentialvoteshare.2014","presidentialvoteshare.2016","presidentialvoteshare.2018","presidentialvoteshare.1984","presidentialvoteshare.1988","presidentialvoteshare.2010","presidentialvoteshare.2020","presidentialvoteshare.2022","presidentialvoteshare.1980","presidentialvoteshare.1982","presidentialvoteshare.2012","contributions.1986","contributions.1990","contributions.1992","contributions.1994","contributions.1996","contributions.1998","contributions.2000","contributions.2002","contributions.2004","contributions.2006","contributions.2008","contributions.2014","contributions.2016","contributions.2018","contributions.1984","contributions.1988","contributions.2010","contributions.2020","contributions.2022","contributions.1980","contributions.1982","contributions.2012"
"60","bailey, donald allen","14603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131191,NA,NA
"61","bailey, wendell","14800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341281,NA,NA
"62","baird, brian","29938",NA,NA,NA,NA,NA,56,50,50,49,49,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1671658,1382509,1268234,965399,832160,741627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","baird, james r","21903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565345,NA,NA,NA,371674,434680,NA,NA,NA
"64","baker, richard hugh","15401",35,40,40,40,54,54,45,45,40,40,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,434290,382622,711147,609698,568733,1444567,919564,842090,1157497,1408132,NA,NA,NA,NA,NA,287230,NA,NA,NA,NA,NA,NA
"65","baker, william p","29310",NA,NA,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708485,917667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","baldacci, john elias","29528",NA,NA,NA,57,63,63,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385891,594719,466066,505992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","balderson, troy","21759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2543070,NA,NA,NA,NA,NA,NA,NA,NA
"68","balderson, william troy","21759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020934,1919520,NA,NA,NA
"69","baldwin, tammy","29940",NA,NA,NA,NA,NA,62,61,61,63,63,70,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,1529431,1600964,1295043,1709070,1565234,1471571,NA,NA,NA,NA,NA,1197114,NA,NA,NA,NA,30179451
"70","balint, rebecca becca","22301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1898996,NA,NA,NA
"71","ballance, frank w jr","20339",NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,763327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ballenger, thomas cass","15402",30,34,37,37,34,34,33,33,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,469277,297417,277122,259412,257800,224354,238648,582759,NA,NA,NA,NA,NA,NA,NA,322903,NA,NA,NA,NA,NA,NA
"73","banks, james e","21702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,32,NA,NA,NA,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1755487,996926,NA,NA,NA,1223959,2653270,NA,NA,NA
"74","barber, ronald","21199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2776639
"75","barcia, james a","29363",NA,NA,58,58,60,60,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289443,267050,205435,248494,299898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","barletta, lou","21171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,48,NA,NA,NA,58,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1265318,1347449,NA,NA,NA,1290913,NA,NA,NA,NA,1334027
"77","barlow, tom","29351",NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","barnard, druie douglas jr","14404",35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,NA,NA,NA,58,58,NA,346980,778139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188435,285060,NA,NA,NA,132061,147763,NA
"79","barnes, michael d","14604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288689,NA,NA,NA,NA,317831,285204,NA
"80","barr, garland andy","21333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,46,42,NA,NA,NA,45,44,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2748742,2592303,5310225,NA,NA,NA,4611245,3845267,NA,NA,2221935
"81","barr, robert l jr","29511",NA,NA,NA,45,44,44,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11572,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","barragan, nanette","21703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,87,NA,NA,NA,80,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1910135,1552664,NA,NA,NA,1187466,1212156,NA,NA,NA
"83","barrett, james gresham","20347",NA,NA,NA,NA,NA,NA,NA,36,34,34,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002981,722483,1043520,1182190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","barrett, thomas mark","39315",NA,NA,65,65,68,68,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431639,268383,289893,322118,553864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","barrett, william e","29129",NA,32,32,32,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644559,485326,281264,264351,144053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","barrow, john j","20507",NA,NA,NA,NA,NA,NA,NA,NA,54,54,55,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,1878067,2491085,2299747,NA,NA,NA,NA,NA,1951721,NA,NA,NA,NA,2876918
"87","bartlett, roscoe gardner","29356",NA,NA,41,41,42,42,40,40,34,34,41,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,311819,369957,464444,482626,232299,188277,574294,367819,362221,NA,NA,NA,NA,NA,334113,NA,NA,NA,NA,NA
