"","name","ICPSR2","presidentialvoteshare.1986","presidentialvoteshare.1990","presidentialvoteshare.1992","presidentialvoteshare.1994","presidentialvoteshare.1996","presidentialvoteshare.1998","presidentialvoteshare.2000","presidentialvoteshare.2002","presidentialvoteshare.2004","presidentialvoteshare.2006","presidentialvoteshare.2008","presidentialvoteshare.2014","presidentialvoteshare.2016","presidentialvoteshare.2018","presidentialvoteshare.1984","presidentialvoteshare.1988","presidentialvoteshare.2010","presidentialvoteshare.2020","presidentialvoteshare.2022","presidentialvoteshare.1980","presidentialvoteshare.1982","presidentialvoteshare.2012","contributions.1986","contributions.1990","contributions.1992","contributions.1994","contributions.1996","contributions.1998","contributions.2000","contributions.2002","contributions.2004","contributions.2006","contributions.2008","contributions.2014","contributions.2016","contributions.2018","contributions.1984","contributions.1988","contributions.2010","contributions.2020","contributions.2022","contributions.1980","contributions.1982","contributions.2012"
"1128","lee, susie","21938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,50,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5087841,NA,NA,NA,4797553,6337406,NA,NA,NA
"1129","leger fernandez, teresa","22131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3130245,NA,NA,NA
"1130","leger, teresa","22131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2305078,NA,NA,NA,NA
"1131","lehman, richard h","15032",49,54,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,54,NA,NA,NA,NA,33,NA,253791,302473,826532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234448,279981,NA,NA,NA,NA,173752,NA
"1132","lehman, william mc","14029",54,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,59,NA,NA,NA,55,55,NA,215286,425117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203018,324062,NA,NA,NA,246065,169826,NA
"1133","leland, george t mickey","14643",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,75,NA,NA,NA,74,74,NA,217214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227687,532832,NA,NA,NA,139709,196688,NA
"1134","lent, norman frederick","13021",36,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,41,NA,NA,NA,NA,36,NA,492418,596305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376045,589323,NA,NA,NA,NA,345508,NA
"1135","lesko, debbie","21757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,42,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2103474,NA,NA,NA,1614574,1198976,NA,NA,NA
"1136","letlow, julia","22157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2849171,NA,NA,NA
"1137","levin, andy","21940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492164,NA,NA,NA,1328806,NA,NA,NA,NA
"1138","levin, mike","21939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6055213,NA,NA,NA,3904058,5149616,NA,NA,NA
"1139","levin, sander","15033",46,53,51,51,58,58,55,55,61,61,66,59,59,NA,46,53,66,NA,NA,NA,55,59,221609,356280,1028481,1462567,1329479,1624641,1178217,941840,978772,626413,725443,1453214,1306857,NA,169019,300654,2345155,NA,NA,NA,215094,1836756
"1140","levin, sander m","15033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101921,NA,NA,NA,0,NA,NA,NA,NA
"1141","levine, mel","15034",47,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,55,NA,NA,NA,NA,34,NA,711129,1496790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348149,893810,NA,NA,NA,NA,464190,NA
"1142","levitas, elliot h","14249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132758,230755,NA
"1143","levy, david a","29376",NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144","lewis, jason mark","21733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045809,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145","lewis, jerry","14644",28,34,47,47,44,44,41,48,37,37,45,NA,NA,NA,34,34,45,NA,NA,32,32,NA,141143,452381,471956,424000,588476,670111,751501,768011,1562561,1661101,1185606,NA,NA,NA,194322,212905,688155,NA,NA,132550,147175,NA
"1146","lewis, john r","15431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3986262,NA,NA,NA,NA,NA,NA,NA,NA
"1147","lewis, john robert","15431",67,68,73,73,76,76,76,76,73,73,80,85,85,NA,NA,68,80,NA,NA,NA,NA,85,380675,276450,307636,549417,262227,397359,682137,332831,421030,628202,1267601,723263,1092287,NA,NA,193584,1013992,NA,NA,NA,NA,1238406
"1148","lewis, ron","29352",NA,NA,NA,48,46,46,36,36,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385149,637567,439469,437636,475717,768504,1707710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149","lewis, tom","15035",33,35,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,35,NA,NA,NA,NA,39,NA,309923,336333,296405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456464,288963,NA,NA,NA,NA,347888,NA
"1150","lieu, ted","21507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,72,NA,NA,NA,70,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2066220,1785339,NA,NA,NA,1680669,1510163,NA,NA,NA
"1151","lieu, ted w","21507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152","lightfoot, james ross","15106",42,52,56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,52,NA,NA,NA,NA,NA,NA,464116,497363,623098,717624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420064,478842,NA,NA,NA,NA,NA,NA
"1153","lincoln, blanche lambert","29305",NA,NA,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439343,475429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154","linder, john","29341",NA,NA,47,47,41,41,34,39,24,24,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543357,844349,816043,991806,636115,1650460,796208,737202,581982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155","lipinski, daniel william","20508",NA,NA,NA,NA,NA,NA,NA,NA,59,59,65,59,59,NA,NA,NA,65,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,195065,371989,707826,874349,886350,NA,NA,NA,752199,NA,NA,NA,NA,825518
"1156","lipinski, daniel william william","20508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1593927,NA,NA,NA,NA,NA,NA,NA,NA
"1157","lipinski, william g","15036",42,48,51,51,NA,59,57,57,59,59,NA,NA,NA,NA,42,48,NA,NA,NA,NA,70,NA,150297,183213,561335,378373,NA,387981,438979,382936,212619,6374,NA,NA,NA,NA,107212,154568,NA,NA,NA,NA,100866,NA
"1158","livingston, robert l","14469",22,29,36,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,22,29,NA,NA,NA,47,47,NA,236023,279603,337316,368522,NA,1065368,NA,NA,NA,NA,NA,NA,NA,NA,341562,262408,NA,NA,NA,249967,242556,NA
"1159","lloyd, marilyn","14251",37,38,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,38,NA,NA,NA,42,42,NA,636851,415056,463643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263666,621520,NA,NA,NA,136283,221313,NA
"1160","lobiondo, frank a","29539",NA,NA,NA,51,58,58,56,56,50,50,55,54,54,NA,NA,NA,55,NA,NA,NA,NA,54,NA,NA,NA,912195,935426,862485,813562,923311,1293191,1549238,1365491,2128410,1598322,NA,NA,NA,1253306,NA,NA,NA,NA,1566500
"1161","loebsack, david w","20720",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,61,58,58,NA,NA,NA,61,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,521636,887188,1733368,1626574,NA,NA,NA,1122051,NA,NA,NA,NA,1562540
"1162","loebsack, david wayne","20720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2062526,NA,NA,NA,NA,NA,NA,NA,NA
"1163","loeffler, tom","14645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449394,NA,NA,NA,NA,479486,699551,NA
"1164","lofgren, zoe","29504",NA,NA,NA,66,68,68,67,67,64,64,71,70,70,77,NA,NA,71,72,72,NA,NA,70,NA,NA,NA,683670,256457,326656,522757,494737,533196,624136,797813,1157846,1381140,1733955,NA,NA,782100,1795702,2022557,NA,NA,858985
"1165","long, billy","21150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,26,NA,NA,36,29,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199797,1468339,1530793,NA,NA,1302007,1337163,NA,NA,NA,924152
"1166","long, clarence dickinson","10601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158280,186959,NA
"1167","long, gillis w","10602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449845,NA,NA,NA,NA,370467,476954,NA
"1168","long, jill lynette","15631",NA,33,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,375147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169","longley, james b jr","29527",NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170","lott, trent","14031",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,41,41,NA,374246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362909,NA,NA,NA,NA,194270,226509,NA
"1171","loudermilk, barry","21515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,37,NA,NA,NA,42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833620,849040,NA,NA,NA,899982,795499,NA,NA,NA
"1172","loudermilk, barry d","21515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1127064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173","love, mia","21552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5315812,5472751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174","lowenthal, alan","21313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,67,NA,NA,NA,64,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,823270,730648,714680,NA,NA,NA,683348,NA,NA,NA,1213337
"1175","lowery, bill","14839",35,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,41,NA,NA,NA,33,33,NA,389021,485964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478807,453489,NA,NA,NA,541216,402742,NA
"1176","lowey, nita m","15612",NA,48,55,55,62,62,62,62,58,58,62,59,59,60,NA,48,62,NA,NA,NA,NA,59,NA,1223045,1153696,1314605,1390141,1338612,1758439,1227782,1636465,1344129,1394487,2133891,1711258,1610876,NA,1338147,2062770,NA,NA,NA,NA,2165669
"1177","lowry, michael e","14646",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,49,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243161,184887,NA
"1178","lucas, frank d","29393",NA,NA,NA,44,47,47,38,43,28,28,27,27,27,22,NA,NA,27,24,27,NA,NA,27,NA,NA,NA,188985,423038,395218,633934,522830,508883,559459,543191,1382858,1204603,1083595,NA,NA,1024225,881729,1524419,NA,NA,1624078
"1179","lucas, kenneth ray","29916",NA,NA,NA,NA,NA,45,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071269,942239,1383051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1180","luetkemeyer, w blaine","20926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,43,43,30,NA,NA,44,32,37,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2809023,1299435,1905574,2340679,NA,NA,1609842,2026938,3640059,NA,NA,1483424
"1181","lujan grisham, michelle","21341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1885722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1182","lujan, ben r","20932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,62,58,NA,NA,62,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1570998,1267973,2108973,1963784,NA,NA,1176087,NA,NA,NA,NA,1102858
"1183","lujan, manuel jr","12022",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,43,43,NA,336142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521876,NA,NA,NA,NA,185664,782110,NA
"1184","luken, thomas a","14070",35,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,37,NA,NA,NA,36,41,NA,392054,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476070,774952,NA,NA,NA,294520,300218,NA
"1185","lukens, donald earl","11028",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,223679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151231,NA,NA,NA,NA,NA,NA
"1186","lummis, cynthia m","20953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,NA,NA,NA,NA,34,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1557313,432666,NA,NA,NA,NA,780426,NA,NA,NA,NA,715314
"1187","lundine, stanley n","14289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,41,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466763,NA,NA,NA,NA,123759,218142,NA
"1188","lungren, daniel e","14647",NA,NA,NA,NA,NA,NA,NA,NA,41,41,50,NA,NA,NA,40,NA,50,NA,NA,32,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1424407,1062692,904199,NA,NA,NA,242940,NA,2025541,NA,NA,244599,246176,NA
"1189","luria, elaine","21941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4278196,NA,NA,NA,6691507,NA,NA,NA,NA
"1190","luther, william p","29533",NA,NA,NA,54,59,59,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1136205,1368013,1143070,1400988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1191","luttrell, morgan joe","22344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4750766,NA,NA,NA
"1192","lynch, stephen","20119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,67,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860218,NA,NA,NA,911202,962334,NA,NA,NA
"1193","lynch, stephen f","20119",NA,NA,NA,NA,NA,NA,NA,67,64,64,61,NA,59,NA,NA,NA,61,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,531109,1161368,1170450,1066683,NA,1216340,NA,NA,NA,1000091,NA,NA,NA,NA,729836
"1194","macarthur, thomas","21537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5653128,1921318,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1195","mace, nancy","22132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5873154,5884937,NA,NA,NA
"1196","machtley, ronald keith","15615",NA,58,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,857775,608563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417449,NA,NA,NA,NA,NA,NA
"1197","mack, connie","15037",26,NA,NA,NA,NA,NA,NA,NA,38,38,42,NA,NA,NA,29,NA,42,NA,NA,NA,55,NA,456462,NA,NA,NA,NA,NA,NA,NA,1892757,1149296,1307193,NA,NA,NA,488097,NA,963782,NA,NA,NA,501482,NA
"1198","mackay, buddy","15038",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,528712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1199","madigan, edward","14033",32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,37,NA,NA,NA,44,29,NA,334872,432247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291147,500508,NA,NA,NA,147512,275859,NA
"1200","maffei, daniel b","20935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2366304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2032959
"1201","mahoney, tim","20710",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2838536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1202","majette, denise l","20318",NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203","malinowski, tom","21942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6306928,NA,NA,NA,7494243,NA,NA,NA,NA
"1204","malliotakis, nicole","22133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3506504,4642145,NA,NA,NA
"1205","maloney, carolyn b","29379",NA,NA,75,75,76,76,76,76,75,75,79,81,81,86,NA,NA,79,85,NA,NA,NA,81,NA,NA,280460,1040044,700991,661556,1077125,952522,943608,1179894,1692323,1410064,1690309,2057782,NA,NA,3052944,3069723,NA,NA,NA,1746929
"1206","maloney, james h","29712",NA,NA,NA,NA,54,54,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621220,1359075,2106496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1207","maloney, sean patrick","21344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,NA,NA,NA,NA,52,55,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4256017,3612705,NA,NA,NA,NA,2607625,6079999,NA,NA,2257171
"1208","mann, david s","29385",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1209","mann, tracey robert","22134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1558493,1237054,NA,NA,NA
"1210","manning, kathy","22135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2076278,3045909,NA,NA,NA
"1211","manton, thomas j","15107",43,51,61,61,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,51,NA,NA,NA,NA,NA,NA,415865,620609,643780,614706,532649,NA,NA,NA,NA,NA,NA,NA,NA,NA,266867,424381,NA,NA,NA,NA,NA,NA
"1212","manzullo, donald a","29349",NA,NA,47,47,NA,47,44,44,44,44,54,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,470798,589129,NA,541331,703280,1160167,1253731,1173279,1352581,NA,NA,NA,NA,NA,1160685,NA,NA,NA,NA,NA
"1213","marchant, kenny ewell","20532",NA,NA,NA,NA,NA,NA,NA,NA,35,35,44,41,41,47,NA,NA,44,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,898286,748190,651069,804263,1033313,1243732,NA,NA,542265,NA,NA,NA,NA,829632
"1214","margolies mezvinsky, marjorie","29398",NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1215","marino, thomas anthony","21170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,43,31,NA,NA,46,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044878,1101958,790357,NA,NA,714385,NA,NA,NA,NA,827493
"1216","markey, edward john","14435",50,54,63,63,70,70,68,68,67,67,66,NA,NA,NA,NA,54,66,NA,NA,50,50,67,0,336209,444628,972421,695542,455311,591089,686471,2840650,942520,1454665,NA,NA,NA,NA,0,1535340,NA,NA,0,0,1091666
"1217","markey, elizabeth helen","20905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2918749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1218","marlenee, ronald charles","14437",36,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,45,NA,NA,NA,35,35,NA,265900,297771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358248,416031,NA,NA,NA,236460,344150,NA
"1219","marriott, dan","14438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253383,380851,NA
"1220","marshall, james c jim","20317",NA,NA,NA,NA,NA,NA,NA,42,44,27,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1055372,1328261,1953070,1816867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
