"","black","born","district","committee_chair","congress","delegation_size","democrat","died","dwnom1","dwnom2","year_elected","female","freshman","icpsr","latino","les","majority_leader","majority","minority_leader","party_code","seniority","state","subcommittee_chair","name","vote_share","year","aapi"
"58",0,1926,5,0,93,43,1,1983,-0.63400000333786,-0.303999990224838,1964,0,0,10577,0,2.33256196975708,0,1,0,100,5,"CA",1,"Burton, Phillip",82,1973,0
"59",0,1929,6,0,93,8,1,1978,-0.0140000004321337,0.513000011444092,1970,0,0,13008,0,0.124041810631752,0,1,0,100,2,"MD",0,"Byron, Goodloe",65,1973,0
"60",0,1908,6,0,93,6,0,1987,0.407999992370605,0.365000009536743,1968,0,0,12006,0,0.468477606773376,0,0,0,200,3,"OK",0,"Camp, John",73,1973,0
"61",0,1919,15,0,93,39,1,2011,-0.351000010967255,-0.270999997854233,1960,0,0,10508,0,1.24546086788177,0,1,0,100,7,"NY",0,"Carey, Hugh",52,1973,0
"62",0,1913,19,0,93,23,1,1987,-0.479000002145767,0.291999995708466,1970,0,0,12044,0,1.78248643875122,0,1,0,100,2,"OH",1,"Carney, Charles",64,1973,0
"63",0,1910,5,0,93,7,0,1987,0.0799999982118607,0.146999999880791,1964,0,0,10710,0,0.305543750524521,0,0,0,200,5,"KY",0,"Carter, Tim",74,1973,0
"64",0,1915,22,0,93,24,1,1986,-0.0979999974370003,0.782999992370605,1958,0,0,1577,0,1.97201335430145,0,1,0,100,8,"TX",1,"Casey, Bob",70,1973,0
"65",0,1918,10,0,93,19,0,2006,0.270000010728836,-0.143999993801117,1952,0,0,1610,0,0.177367225289345,0,0,0,200,11,"MI",0,"Cederberg, Elford",67,1973,0
"66",0,1917,6,0,93,19,0,2002,0.246999993920326,-0.190999999642372,1956,0,0,1620,0,0.087862953543663,0,0,0,200,9,"MI",0,"Chamberlain, Charles",51,1973,0
"67",0,1922,4,0,93,15,1,1989,-0.0979999974370003,0.916000008583069,1968,0,0,12007,0,2.08365106582642,0,1,0,100,3,"FL",0,"Chappell, Bill",56,1973,0
"68",1,1924,12,0,93,39,1,2005,-0.605000019073486,-0.319000005722046,1968,1,0,12008,0,0.0196399539709091,0,1,0,100,3,"NY",0,"Chisholm, Shirley",88,1973,0
"69",0,1921,2,0,93,23,0,2007,0.402999997138977,-0.0020000000949949,1960,0,0,10510,0,0.160220667719841,0,0,0,200,7,"OH",0,"Clancy, Donald",63,1973,0
"70",0,1915,25,0,93,25,1,2003,-0.291999995708466,0.261000007390976,1954,0,0,1763,0,0.711110174655914,0,1,0,100,10,"PA",1,"Clark, Frank",56,1973,0
"71",0,1923,1,0,93,43,0,2015,0.159999996423721,0.0359999984502792,1963,0,0,10579,0,0.178826943039894,0,0,0,200,6,"CA",0,"Clausen, Don",62,1973,0
"72",0,1914,23,0,93,43,0,1992,0.483000010251999,0.131999999284744,1963,0,0,10580,0,0.141188353300095,0,0,0,200,6,"CA",0,"Clawson, Del",61,1973,0
"73",1,1931,1,0,93,10,1,NA,-0.490000009536743,-0.871999979019165,1968,0,0,12009,0,0.489902287721634,0,1,0,100,3,"MO",0,"Clay, William",64,1973,0
"74",0,1920,2,0,93,2,0,1995,0.217999994754791,-0.342999994754791,1962,0,0,10581,0,0.234219714999199,0,0,0,200,6,"NH",0,"Cleveland, James",68,1973,0
"75",0,1937,4,0,93,5,0,NA,0.287000000476837,0.0509999990463257,1972,0,1,14009,0,0.104401856660843,0,0,0,200,1,"MS",0,"Cochran, Thad",48,1973,0
"76",0,1940,2,0,93,2,0,NA,0.100000001490116,-0.615000009536743,1972,0,1,14010,0,0.259454131126404,0,0,0,200,1,"ME",0,"Cohen, William",54,1973,0
"77",0,1915,6,0,93,24,0,2006,0.377999991178513,-0.212999999523163,1956,0,0,1941,0,0.266689896583557,0,0,0,200,9,"IL",0,"Collier, Harold",61,1973,0
"78",1,1931,7,0,93,24,1,2013,-0.551999986171722,-0.217999994754791,1973,1,1,14068,0,0.0568524971604347,0,1,0,100,1,"IL",0,"Collins, Cardiss",NA,1973,0
"79",0,1916,3,0,93,24,0,1989,0.679000020027161,0.122000001370907,1968,0,0,11066,0,0.0826945379376411,0,0,0,200,3,"TX",0,"Collins, James",73,1973,0
"80",0,1922,35,0,93,39,0,2003,0.370999991893768,-0.657999992370605,1964,0,0,10712,0,0.176759585738182,0,0,0,200,5,"NY",0,"Conable, Barber",68,1973,0
"81",0,1930,4,0,93,4,0,NA,0.531000018119812,0.0260000005364418,1972,0,1,14011,0,0.0258420445024967,0,0,0,200,1,"AZ",0,"Conlan, John",53,1973,0
"82",0,1921,1,0,93,12,0,1991,-0.0230000000447035,-0.683000028133392,1958,0,0,2009,0,1.45603501796722,0,0,0,200,8,"MA",0,"Conte, Silvio",100,1973,0
"83",1,1929,1,0,93,19,1,NA,-0.657999992370605,-0.512000024318695,1964,0,0,10713,0,0.730037271976471,0,1,0,100,5,"MI",1,"Conyers, John",88,1973,0
"84",0,1920,22,0,93,43,1,2000,-0.529999971389771,0.0979999974370003,1960,0,0,10511,0,1.23202300071716,0,1,0,100,7,"CA",1,"Corman, James",68,1973,0
"85",0,1926,1,0,93,6,1,1981,-0.312999993562698,0.103000000119209,1970,0,0,13009,0,0.0434146337211132,0,1,0,100,2,"CT",0,"Cotter, William",57,1973,0
"86",0,1929,13,0,93,25,0,2001,0.203999996185303,-0.843999981880188,1968,0,0,12010,0,0.106469221413136,0,0,0,200,3,"PA",0,"Coughlin, Lawrence",67,1973,0
"87",0,1930,12,0,93,24,0,2014,0.739000022411346,0.0230000000447035,1969,0,0,12041,0,0.166422769427299,0,0,0,200,3,"IL",0,"Crane, Philip",74,1973,0
"88",0,1938,5,0,93,12,0,1997,0.00300000002607703,-0.372999995946884,1972,0,1,14012,0,0.844029128551483,0,0,0,200,1,"MA",0,"Cronin, Paul",45,1973,0
"89",0,1932,2,0,93,6,1,NA,-0.409999996423721,-0.25900000333786,1964,0,0,10715,0,1.02114772796631,0,1,0,100,5,"IA",1,"Culver, John",59,1973,0
"90",0,1936,4,0,93,10,0,2012,0.317999988794327,0.345999985933304,1972,0,1,14013,0,0.0227409992367029,0,0,0,200,1,"VA",0,"Daniel, Robert",47,1973,0
"91",0,1908,14,0,93,15,1,1987,-0.386000007390976,0.100000001490116,1958,0,0,2329,0,3.4353563785553,0,1,0,100,8,"NJ",1,"Daniels, Dominick",61,1973,0
"92",0,1915,29,0,93,43,1,1998,-0.476999998092651,0.256000012159348,1970,0,0,13010,0,1.60567438602448,0,1,0,100,2,"CA",0,"Danielson, George",63,1973,0
"93",0,1916,7,0,93,10,1,1992,-0.194999992847443,0.920000016689301,1960,0,0,10512,0,0.234645754098892,0,1,0,100,7,"GA",1,"Davis, John",58,1973,0
"94",0,1914,9,0,93,9,0,1988,0.43299999833107,-0.195999994874001,1946,0,0,2383,0,0.146356761455536,0,0,0,200,14,"WI",0,"Davis, Glenn",61,1973,0
